sample_id LIBRARY UNPAIRED_READS_EXAMINED READ_PAIRS_EXAMINED SECONDARY_OR_SUPPLEMENTARY_RDS UNMAPPED_READS UNPAIRED_READ_DUPLICATES READ_PAIR_DUPLICATES READ_PAIR_OPTICAL_DUPLICATES PERCENT_DUPLICATION ESTIMATED_LIBRARY_SIZE
RD001	kp1_axelrod	0	25925873	6969730	3373182	0	4391314	56859	0.16938	68308009
RD002	kp1_axelrod	0	26223972	6976898	4942416	0	4279014	46997	0.163172	71974799
RD003	kp1_axelrod	0	24876174	6080076	4688222	0	3561680	48955	0.143176	79249673
RD004	kp1_axelrod	0	25691631	6649186	3615422	0	4241916	55086	0.165109	69687185
RD005	kp1_axelrod	0	25263760	6429930	3975076	0	4222556	58480	0.167139	67628127
RD006	kp1_axelrod	0	33575138	8577340	3999614	0	5984673	76375	0.178247	83435797
RD007	kp1_axelrod	0	23609423	6356188	5105430	0	3752756	47940	0.158952	66842909
RD008	kp1_axelrod	0	27845594	7332210	4596810	0	4872152	52779	0.17497	70579051
RD009	kp1_axelrod	0	27388485	7347676	3118524	0	4957866	52600	0.18102	66754046
RD010	kp1_axelrod	0	26900460	6976300	3580914	0	7495764	54638	0.278648	38989323
RD011	kp1_axelrod	0	27357980	8235028	5158706	0	7698127	55090	0.281385	39162528
RD012	kp1_axelrod	0	25169176	6788238	4555470	0	6629390	55362	0.263393	39170798
RD013	kp1_axelrod	0	32281009	10577918	4518900	0	10136251	78190	0.314	40140318
RD014	kp1_axelrod	0	26670529	7106338	4033228	0	7269277	60754	0.272558	39772728
RD015	kp1_axelrod	0	28693200	8293782	3708964	0	8350298	66946	0.29102	39373641
RD016	kp1_axelrod	0	27527322	7784780	3250058	0	7109113	60664	0.258257	43904476
RD017	kp1_axelrod	0	1384901	396982	9352072	0	371532	2886	0.268273	2105801
RD018	kp1_axelrod	0	28039745	6187734	3488666	0	5709143	62787	0.203609	59632639
RD019	kp1_axelrod	0	25511920	5869244	4048406	0	4863580	52519	0.19064	58578998
RD020	kp1_axelrod	0	25477060	6552484	3637318	0	5347553	50184	0.209897	52215313
RD021	kp1_axelrod	0	23968249	5782076	3423624	0	5368398	51800	0.22398	45484715
